Hours_Studied,Attendance,Parental_Involvement,Access_to_Resources,Sleep_Hours,Previous_Scores,Motivation_Level,Tutoring_Sessions,Family_Income,Teacher_Quality,Peer_Influence,Physical_Activity,Parental_Education_Level,Distance_from_Home,Exam_Score,Gender_Male,School_Type_Public,Internet_Access_Yes,Extracurricular_Activities_Yes,Learning_Disabilities_Yes
23,84,0,2,7,73,0,0,0,1,2,3,0,0,67,1,1,1,0,0
19,64,0,1,8,59,0,2,1,1,0,4,1,1,61,0,1,1,0,0
24,98,1,1,7,91,1,2,1,1,1,4,2,0,74,1,1,1,1,0
29,89,0,1,8,98,1,1,1,1,0,4,0,1,71,1,1,1,1,0
19,92,1,1,6,65,1,3,1,2,1,4,1,0,70,0,1,1,1,0
19,88,1,1,8,89,1,3,1,1,2,3,2,0,71,1,1,1,1,0
29,84,1,0,7,68,0,1,0,1,1,2,0,1,67,1,0,1,1,0
25,78,0,2,6,50,1,1,2,2,0,2,0,2,66,1,1,1,1,0
17,94,1,2,6,80,2,0,1,0,1,1,1,0,69,1,0,1,0,0
23,98,1,1,8,71,1,0,2,2,2,5,0,1,72,1,1,1,1,0
17,80,0,2,8,88,1,4,1,2,1,4,1,1,68,1,0,0,0,0
17,97,1,2,6,87,0,2,0,2,1,2,0,0,71,1,0,1,1,0
21,83,1,1,8,97,0,2,1,1,2,4,0,0,70,1,1,1,1,0
9,82,1,1,8,72,1,2,1,1,2,3,2,0,66,1,0,1,1,0
10,78,1,2,8,74,1,1,0,1,1,4,2,0,65,1,0,1,1,0
17,68,1,1,8,70,1,2,1,1,2,4,0,0,64,0,0,1,0,0
14,60,1,0,10,65,0,0,2,1,2,3,1,0,60,1,0,1,1,0
22,70,0,1,6,82,1,1,0,2,1,3,0,0,65,0,1,1,1,0
15,80,1,1,9,91,0,3,0,1,2,2,1,1,67,0,1,1,1,0
12,75,1,2,7,58,1,3,1,1,2,4,1,0,66,1,0,1,1,0
29,78,1,1,5,99,2,0,2,1,0,1,0,1,69,0,1,1,0,0
19,99,1,2,6,84,1,1,1,2,1,3,0,0,72,1,1,1,0,0
20,74,1,2,8,89,0,1,1,1,0,2,1,1,66,0,1,1,0,0
11,78,2,1,8,100,2,1,0,1,1,3,0,1,66,1,1,1,1,0
17,65,0,2,5,75,1,2,0,1,2,3,0,0,63,0,1,1,1,0
21,62,2,0,6,54,2,0,2,2,2,3,2,2,64,1,1,1,1,0
13,91,0,1,6,90,1,1,2,1,0,2,0,1,65,0,1,1,0,1
22,83,2,2,6,94,1,0,2,1,1,2,1,1,71,1,1,1,1,0
16,90,1,1,4,58,1,1,0,1,1,3,0,1,66,0,1,1,0,0
18,66,2,2,4,51,0,2,0,1,1,2,1,0,64,1,0,1,0,0
16,83,0,1,6,57,1,0,2,0,2,4,0,0,63,0,1,1,0,1
31,70,1,2,7,66,1,1,2,1,0,3,1,0,69,1,1,1,1,0
20,69,1,1,8,96,1,2,1,2,2,3,0,0,67,1,1,1,1,0
14,60,2,1,5,50,1,2,1,1,1,3,1,0,61,0,1,1,0,0
25,65,2,1,5,90,1,2,1,1,2,3,1,1,68,0,1,1,0,0
13,72,0,1,6,93,0,1,0,1,0,3,0,0,61,1,1,1,0,0
21,65,1,0,7,91,0,2,1,2,2,3,0,2,64,0,1,1,1,0
8,99,1,1,9,54,0,2,0,1,1,5,2,0,67,0,1,1,0,0
12,72,0,1,8,84,1,1,0,1,2,5,0,0,63,0,1,1,1,0
21,65,0,1,6,98,0,1,1,2,0,4,0,0,64,1,1,1,1,0
24,68,2,1,8,56,0,3,2,2,1,1,1,0,67,1,1,1,0,0
21,84,1,1,6,52,0,1,1,2,1,2,1,2,65,0,1,1,1,1
19,63,0,2,7,94,1,1,1,1,2,3,0,1,64,1,0,1,0,0
18,94,1,2,7,82,1,3,1,1,0,2,1,0,70,1,0,1,1,1
11,98,1,1,9,82,0,1,1,1,2,3,2,2,68,1,0,1,1,0
16,70,1,1,8,98,1,2,1,1,2,3,0,1,65,1,1,1,1,0
17,78,1,1,6,88,1,1,1,2,2,3,1,0,68,0,0,1,1,0
26,61,1,0,6,70,1,2,0,1,2,3,0,1,64,0,1,1,1,0
22,86,0,1,7,72,0,3,0,2,2,2,0,1,68,1,1,1,1,0
9,77,1,1,5,57,1,2,1,2,1,3,0,0,63,1,1,1,0,0
22,71,0,1,7,65,0,1,1,0,2,4,1,1,64,1,1,1,1,0
18,68,2,1,7,72,1,0,1,1,1,3,1,0,64,1,1,1,0,0
16,86,0,1,8,63,1,2,1,1,2,4,0,0,67,1,1,1,1,0
24,77,2,0,8,96,1,0,1,1,1,3,0,0,67,0,1,1,0,0
26,67,1,2,7,51,0,2,2,2,1,4,2,2,66,0,0,1,1,1
26,88,1,2,5,79,1,1,0,2,2,4,1,1,72,1,0,1,1,0
15,83,1,2,5,89,0,1,1,2,1,2,0,0,65,0,1,0,0,1
18,94,1,1,6,87,2,1,1,1,2,4,0,0,71,1,1,1,1,0
22,65,2,0,8,82,1,2,1,2,2,1,2,0,66,0,1,1,0,0
26,91,1,0,8,71,1,0,0,1,1,3,0,1,68,1,0,1,1,0
17,87,1,1,7,96,1,1,2,1,0,5,2,0,70,0,1,1,0,0
19,65,1,1,10,66,0,0,0,1,2,3,0,1,62,1,1,1,1,0
13,88,0,2,9,88,2,2,0,2,0,4,2,2,68,1,0,1,1,0
13,78,1,2,9,96,2,2,0,1,1,3,1,1,67,1,1,1,1,0
25,98,0,2,8,56,1,0,1,2,1,3,2,0,71,1,0,0,1,0
28,66,1,2,8,97,1,0,1,1,1,2,0,0,68,1,1,1,1,0
20,86,1,1,8,89,1,1,0,1,0,3,2,0,69,1,1,1,1,0
26,75,0,2,4,81,2,3,1,2,2,2,0,1,70,1,0,1,1,0
22,98,1,2,5,69,0,1,0,2,0,4,0,1,69,0,1,0,0,0
16,73,1,1,7,95,1,1,0,1,0,4,1,0,65,1,1,1,0,0
